9,81
18,96
12,88
14,95
15,92
5,99
9,90
12,98
11,85
19,99
6,92
15,94
13,90
12,93
0,96
11,84
1,98
5,89
16,90
2,83
15,98
8,86
3,97
13,96
1,81
0,82
5,80
0,89
0,98
18,84
6,91
0,84
14,86
4,99
7,93
12,94
1,84
13,94
5,81
11,82
18,99
7,92
12,84
16,85
15,83
3,99
9,83
6,82
13,93
12,83
86,90
94,81
85,82
79,85
81,81
83,89
78,89
76,85
90,99
90,84
85,83
84,86
87,95
91,95
84,95
76,87
77,88
79,84
92,92
76,98
84,86
83,89
83,96
77,94
77,93
81,92
93,88
81,89
88,83
93,94
90,96
78,96
93,84
84,90
78,93
9,35
34,26
19,34
25,22
1,16
0,40
33,28
3,38
24,40
13,39
31,42
4,17
24,44
12,30
25,21
21,40
20,23
6,34
18,15
33,21
32,25
11,33
30,20
20,21
31,26
5,20
23,40
10,44
6,24
24,29
19,21
1,24
5,26
28,43
33,43
56,62
50,66
64,45
62,60
47,55
58,51
62,51
54,57
63,60
50,60
61,63
47,55
45,64
48,50
51,55
57,42
51,56
62,49
47,49
58,64
45,64
54,43
55,69
49,69
59,47
51,56
46,59
62,52
57,41
53,44
46,67
60,63
45,44
57,53
58,45
