56,8
70,24
69,17
72,12
71,23
55,5
73,8
74,23
51,17
72,12
61,21
57,0
59,21
50,18
50,24
70,1
71,6
50,2
50,23
57,23
1,11
1,0
13,19
0,8
8,22
10,15
14,9
8,8
12,5
7,0
12,6
9,7
13,5
8,0
2,19
13,1
1,1
11,9
0,16
10,6
24,95
17,90
29,88
25,90
26,75
26,84
21,87
27,80
27,83
21,77
15,99
25,85
23,98
32,94
30,88
30,97
33,78
18,82
15,79
20,95
42,18
54,15
49,21
46,19
44,23
44,15
47,24
50,22
54,24
46,18
43,18
48,24
47,19
54,23
49,22
46,22
53,17
53,17
48,19
50,21
98,47
85,52
75,53
94,59
83,59
97,62
76,54
95,64
85,64
86,60
94,54
85,46
93,49
75,59
92,60
84,45
75,63
96,54
76,51
76,56
