90,64
76,39
76,30
87,93
39,17
41,5
53,73
61,25
7,69
79,60
36,16
98,13
13,76
82,5
53,74
12,15
72,25
87,32
58,58
48,41
57,78
38,77
80,92
91,59
98,6
23,80
47,95
53,93
0,30
73,42
54,6
98,47
93,15
57,24
50,21
19,1
42,7
99,87
72,34
12,31
42,45
86,4
3,6
81,95
20,11
56,75
21,35
36,67
73,44
72,94
46,50
41,98
43,93
90,13
87,60
33,28
70,57
30,73
92,94
90,56
50,11
16,26
30,98
80,51
27,45
21,43
89,9
53,55
47,40
24,94
66,17
85,99
39,28
17,14
86,82
78,23
66,78
93,70
37,90
69,6
96,29
35,85
95,19
95,98
87,24
9,86
90,49
65,19
37,64
40,63
85,19
39,85
59,56
79,47
21,20
80,85
87,62
88,73
72,11
59,49
