1,60
1,59
1,58
1,57
1,56
1,55
1,54
1,53
1,52
1,51
1,50
2,55
3,55
4,55
5,55
5,60
5,59
5,58
5,57
5,56
5,55
5,54
5,53
5,52
5,51
5,50
7,50
7,51
7,52
7,53
7,54
7,55
7,56
8,57
8,58
9,59
10,60
11,59
12,58
12,57
13,56
13,55
13,54
13,53
13,52
13,51
13,50
8,55
9,55
10,55
11,55
12,55
15,60
15,59
15,58
15,57
15,56
15,55
15,54
15,53
15,52
15,51
15,50
22,60
22,59
22,58
22,57
22,56
22,55
22,54
22,53
22,52
22,51
22,50
21,50
20,51
20,52
19,53
19,54
18,55
18,56
17,57
17,58
16,59
16,60
24,60
24,59
24,58
24,57
24,56
24,55
24,54
24,53
24,52
24,51
24,50
31,60
31,59
31,58
31,57
31,56
31,55
31,54
31,53
31,52
31,51
31,50
30,50
29,51
29,52
28,53
28,54
27,55
27,56
26,57
26,58
25,59
25,60
33,50
33,51
33,52
33,53
33,54
33,55
33,56
34,57
34,58
35,59
36,60
37,59
38,58
38,57
39,56
39,55
39,54
39,53
39,52
39,51
39,50
34,55
35,55
36,55
37,55
38,55
41,60
41,59
41,58
41,57
41,56
41,55
41,54
41,53
41,52
41,51
41,50
42,55
43,55
44,55
45,55
45,60
45,59
45,58
45,57
45,56
45,55
45,54
45,53
45,52
45,51
45,50
