65,40
54,31
57,30
65,31
65,39
58,32
55,37
63,31
57,37
60,30
69,35
64,38
51,33
70,31
64,36
63,40
60,29
51,29
62,35
70,25
8,24
1,11
8,2
5,15
7,14
12,22
11,2
0,22
7,16
13,3
9,20
13,15
11,24
10,15
5,9
4,8
13,15
6,1
12,10
9,18
30,84
20,99
16,83
19,92
27,75
26,92
33,84
18,83
24,98
29,90
32,81
16,92
25,76
22,88
18,87
23,79
26,93
29,88
33,87
25,85
44,18
52,18
45,15
52,22
46,15
44,16
43,20
46,22
45,22
44,22
45,22
46,20
54,21
53,20
47,22
48,22
53,20
43,22
49,20
40,24
76,51
88,58
95,60
86,47
86,45
82,46
80,55
79,53
85,62
75,49
96,53
77,45
87,49
83,51
92,57
92,50
76,51
91,45
86,52
91,52
30,50
90,90
